name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method
k2321b,2.298,0.041,77.86,0.6,,Transit
kepler352d,6.887279987,0.0657,252.733,0.901,,Transit
kepler146b,31.158799,0.2,716.797,1.1,,Transit
k2257b,1.60588,0.0216,64.1,0.52,,Transit
betapicc,1227.0,2.68,19.3,1.73,8.89,Radial Velocity
kepler374b,1.897806,0.029,1312.67,0.84,,Transit
kepler115c,8.990889,0.087,634.97,1.0,,Transit
ogle2011blg0251lb,,3.86,4090.0,0.47,0.96,Microlensing
2massj13262729,,,18.0,,17.1,Imaging
gj3341b,14.207,0.089,23.1,0.47,0.35717,Radial Velocity
k2366b,15.937039,0.1207,185.947,0.825,0.01995,Transit
hd23514b,,360.0,138.155,1.211,60.0,Imaging
wasp98ab,2.96264,0.036,281.742,0.97,0.83,Transit
k2147b,0.961917,0.0159,88.0,0.58,,Transit
kepler1391b,54.4092333,,721.0,1.03,,Transit
hd188769b,,25000.0,45.8728,1.38,30.0,Imaging
kelt4ab,2.989594,0.04321,211.0,1.204,0.9,Radial Velocity
sdssj15075230b,0.046256944,0.00248,210.0,0.9,56.0,Timing
wasp48b,2.143634,0.03444,,1.19,0.98,Transit
kepler643b,16.33889626,,1029.0,1.0,,Transit
toi3785b,4.6747373,0.043,79.4,0.52,0.04704,Transit
2massj18413117,,,42.42,,66.52,Imaging
tyc14226141b,198.44,0.6879,759.0,1.15,2.51,Radial Velocity
wasp114ab,1.5487743,0.02851,460.0,1.289,1.769,Transit
tic262605715b,1.161258,0.018,111.731,0.5771,,Imaging
ogle2009blg151l,,,390.0,,18.0,Microlensing
kepler471b,5.01423457,,1373.0,1.49,,Transit
kepler330c,15.955387,0.116,732.46,0.78,,Transit
2massj17375953,,,,,58.0,Imaging
hd1605c,2111.0,3.52,84.6,1.31,3.48,Radial Velocity
kepler381c,13.391635,0.117,269.39,1.34,,Transit
2massj15390520,,,16.87,,62.64,Imaging
nltt51469b,113777000.0,3834.0,46.6,0.42,60.0,Imaging
wasp13b,4.35323,0.052,156.0,,0.52,Transit
toi1820ab,4.8607,0.069,250.0,1.04,2.3,Transit
gj682b,17.478,0.08,,0.27,0.0138438788031,Radial Velocity
kepler14ab,6.790123,,980.0,1.51,8.4,Transit
k2146c,4.00498,0.034,79.31,0.33,0.02358,Transit
lp71216b,,623.0,36.82,,56.0,Imaging
kmt2020blg0757b,,11.54,6670.0,0.58,10.7,Microlensing
hd147873ac,491.54,1.36,104.93,1.38,2.3,Radial Velocity
muarae,4205.8,5.235,15.3,1.08,1.814,Radial Velocity
2massj17315310,,,,,58.0,Imaging
kepler1542b,3.95116882,,336.0,0.94,,Transit
wasp15b,3.7520656,0.0499,308.0,1.18,0.542,Transit
kepler1995b,73.75779724,0.3259,595.331,0.75,,Transit
ic139629,,,905.0,,60.0,Imaging
hd214823ab,1853.9,3.23,101.7,1.31,20.56,Radial Velocity
kepler836b,11.36112327,,1003.0,1.03,,Transit
k2319ab,26.68,0.1516,210.56,0.95,,Transit
kepler1240b,4.8663815,,614.0,0.98,,Transit
kepler1590b,7.61760804,,900.0,1.11,,Transit
hd12484b,58.83,0.297,51.1,1.01,2.98,Radial Velocity
kepler852b,44.9309804,,854.0,1.19,,Transit
hd181720b,956.0,1.78,56.0,0.92,12.12,Radial Velocity
hd100777b,383.7,1.03,52.8,1.0,1.16,Radial Velocity
kepler195b,8.307872,0.077,664.47,,,Transit
kepler1209b,25.369116,,558.0,1.23,,Transit
toi1899b,29.090312,0.1525,128.4,0.627,0.67,Transit
kepler1193b,2.83265213,,695.0,1.08,,Transit
kepler1857b,8.94340992,0.0807,853.275,1.17,,Transit
gj2030ab,,0.034,37.0788,0.96,0.014,Radial Velocity
2massj10100406,,,18.0,,51.16,Imaging
hd1397b,11.53533,0.1097,79.31,1.322,0.415,Transit
kepler253b,3.783986,0.046,858.93,,,Transit
k2247ab,2.25021,0.0304,260.2,0.74,,Transit
toi1801ab,10.64396,0.078,30.68,0.54,0.018214,Transit
hd73256c,2690.0,3.8,36.5,1.05,16.0,Radial Velocity
hd97334b,,1970.0,22.6389,1.07,51.5,Imaging
2massj04430002,,,21.09,,2.22,Imaging
kepler1027b,1.9078052,,291.0,0.91,,Transit
isooph200,,,144.2,,20.0,Imaging
toi1410ab,1.2169,0.02,72.75,0.71,0.03338,Transit
wasp117b,10.020593,0.0714,,1.126,0.3,Transit
kepler1663b,17.6046,,341.22,,,Transit
k2233c,7.06142,0.06687,67.64,0.8,,Transit
kepler356b,4.612696,0.057,722.14,0.97,,Transit
kepler987b,105.3033148,,936.0,0.97,,Transit
dpleob,10230.0,8.19,,0.69,6.05,Timing
wasp50b,1.9550959,0.02913,230.0,0.861,1.437,Transit
toi1294c,160.1,0.581,332.648,1.02,0.4666,Radial Velocity
l2616b,,2199.0,43.4151,0.63,60.0,Imaging
hd219134c,6.765159,0.062,6.55,0.794,0.01246,Radial Velocity
toi1994b,4.0337142,0.0613,517.0,1.86,22.1,Transit
crtsj11221110b,0.0453,0.00235,345.0,0.83,14.0,Timing
hd190406b,23020.91,16.6,17.7134,1.08,73.4,Imaging
kepler1413b,13.1829642,,1162.0,0.84,,Transit
kepler551b,12.3764661,,312.0,0.65,,Transit
uzforb,5800.0,5.9,,0.84,6.3,Other
kepler458b,572.3847,,1670.88,0.98,,Transit
kepler190c,3.763024,0.045,438.88,0.84,,Transit
lrl21460,,,321.0,,30.0,Imaging
gaiaedr32077240046296834304b,4.99671123,0.032,1000.0,0.749,,Transit
kepler1123b,4.33946454,,796.0,0.93,,Transit
wasp42b,4.9816872,0.0458,,,0.5,Transit
kepler692b,21.81293494,,1000.0,0.9,,Transit
toi904b,10.8772,0.056,46.089,0.527,,Transit
wolf1061b,4.8869,0.0375,4.29,0.25,0.00601,Radial Velocity
kepler1179b,2.68505749,,454.0,0.84,,Transit
kepler91b,6.24658,0.0731,1344.56,1.31,0.81,Transit
corot2ab,1.7429964,0.0281,213.283,0.972,3.31,Transit
hatp17b,10.3385308,0.0828,90.0,0.857,0.571,Transit
kepler88d,1403.0,2.464,339.0,0.99,3.05,Radial Velocity
kepler1569b,5.79180156,,1050.0,1.25,,Transit
toi1064c,12.226574,0.09429,68.81,0.748,0.0079,Transit
kepler1241b,18.5525701,,936.0,0.84,,Transit
wisej18417000,,,40.2,,60.0,Imaging
hd219134f,22.805,0.139,6.55,0.794,0.0208,Other
kepler1287b,11.47685909,,1027.0,0.96,,Transit
hats45b,4.1876244,0.05511,818.0,1.272,0.7,Transit
hd113337ab,323.4,1.03,36.9,1.4,3.1,Radial Velocity
kepler243c,20.026218,0.142,707.94,0.89,,Transit
kepler1360b,40.5286413,,1405.0,1.51,,Transit
kepler154b,33.040532,0.198,939.89,0.89,,Transit
hd135625b,4055.0,5.4,56.58,1.28,2.3,Radial Velocity
k2268f,26.27057,,331.46,0.84,,Transit
kepler118b,7.518496,0.073,583.81,0.86,,Transit
kepler89ad,22.342989,0.1684,477.052,1.183,0.2504561,Transit
wasp87ab,1.682795,0.02946,240.0,1.204,2.21,Transit
teide2,,,123.0,,22.0,Imaging
kepler619b,5.4042722,,1111.0,1.09,,Transit
kepler65e,258.8,,306.39,1.25,0.82,Radial Velocity
hd49674b,4.94739,0.058,40.7,1.07,0.1,Radial Velocity
k2200ab,2.849883,,185.09,0.86,,Transit
dwlynb,1450.0,1.148,,,5.58,Timing
kepler180c,41.885775,0.229,709.83,0.84,,Transit
k2335b,12.283211,0.11168,557.993,1.23,,Transit
lup154140334518,,,150.0,,10.0,Imaging
hd2039b,1120.0,2.23,89.8,0.98,6.11,Radial Velocity
kepler122b,5.766193,0.064,1058.58,0.99,,Transit
toi216b,17.0991,0.1293,178.89,0.77,0.0558,Transit
sand178b,123.93,,58.8285,0.482,10.4,Radial Velocity
kepler984b,43.0342272,,461.0,0.96,,Transit
kepler1304b,16.1288853,,682.0,0.85,,Transit
kepler1556b,8.82713457,,1060.0,0.97,,Transit
kepler245d,36.277108,0.202,882.65,0.8,,Transit
kepler857b,85.35129427,,1039.0,0.99,,Transit
toi451ab,1.8587028,0.0271,123.74,0.95,,Transit
ngts16b,4.84532,0.0523,892.0,1.002,0.667,Transit
kepler560bb,18.47762694,0.0887,109.308,0.398,,Transit
kepler1662b,134.4786723,0.5187,887.81,1.08,0.2234,Transit
brb4,,,121.7,,47.0,Imaging
hd33844c,916.0,2.24,100.9,1.75,1.75,Radial Velocity
k2359b,0.72091,0.01536,706.391,0.93,,Transit
lspmj16572448b,1182.34,1.198,13.98,0.121,46.195,Astrometry
kepler251b,4.790936,0.053,948.98,0.91,,Transit
toi3919b,7.433234,0.0795,,,3.88,Transit
kepler421ab,704.1984,1.219,348.558,0.902,,Transit
corot35b,3.22748,0.0429,1140.0,1.01,1.1,Transit
kepler730c,2.85188338,0.03997,2020.2,1.05,,Transit
kepler1994b,4.612319946,0.053,241.991,0.921,,Transit
kpnotau6,,,145.0,,20.0,Imaging
hats17b,16.254611,0.1308,339.0,1.131,1.338,Transit
kepler1142b,18.3027248,,697.0,0.97,,Transit
k268b,8.05428,0.0708,169.47,0.73,,Transit
2massj13113629b,,27.0,32.18,,36.0,Imaging
gj9714ab,19240.8,12.319,20.5121,0.67,9.403,Radial Velocity
hd111232b,1169.1,2.148,29.0,0.78,7.965,Radial Velocity
2massj04372651b,,118.0,128.1,0.0165,4.0,Imaging
kepler292d,7.055679,0.068,1087.23,0.88,,Transit
kepler282d,24.806,,1390.97,1.09,0.192,Transit
k2126b,7.385655,0.0656,103.29,0.69,,Transit
gj433b,7.3708,0.062,9.04,0.48,0.01869,Radial Velocity
kepler1560b,3.03195744,,529.0,1.02,,Transit
sorij0540045023642,,,352.0,,39.0,Imaging
teegardensc,11.416,0.0455,3.831,0.089,0.0033,Radial Velocity
wasp63b,4.37809,0.0574,330.0,1.32,0.38,Transit
doar21c,1013.5,2.8,134.6,2.04,44.0,Astrometry
k2347b,7.187257,0.063488,320.336,0.66,,Transit
hd23472ae,7.90754,0.068,39.1,0.75,0.00227,Transit
kepler85d,17.91323,0.13,782.09,0.95,,Transit
hip14810b,6.673855,0.0692,52.9,0.99,3.88,Radial Velocity
kepler211c,6.04045,0.062,312.14,0.97,,Transit
kepler439b,178.1396,0.563,693.0,0.88,,Transit
toi2145b,10.261127,0.111,124.6,1.72,5.56,Transit
hd108147b,10.8985,0.102,38.57,1.19,0.261,Radial Velocity
kelt20b,3.4741085,0.0542,,2.0,3.518,Transit
kepler529d,35.86619949,0.2134,787.0,1.07,,Transit
kepler88b,10.91647,,339.0,0.99,0.03,Transit
kepler1054b,4.30655689,,1050.0,1.22,,Transit
hats56b,4.324799,0.06043,577.1,1.573,0.602,Transit
kepler1703b,21.1876185,0.1462,887.064,0.858,,Transit
toi1296b,3.9443715,0.0497,313.7,1.17,0.298,Transit
kepler339c,6.988055,0.069,627.67,0.84,,Transit
ulasj12380953,,,18.5,,29.0,Imaging
kepler262b,13.060855,0.108,624.08,,,Transit
kepler1275b,3.65691115,,1280.0,1.23,,Transit
hd25171ab,1845.0,3.02,55.0,1.09,0.95,Radial Velocity
ztfj00382030b,0.4319208,0.0092,138.3,0.505,59.3,Transit
ngts11c,12.77,,191.5,0.862,,Transit
wasp94ab,3.95020219,0.055,,1.29,0.452,Transit
marvels11b,11.6121,0.1,128.69,0.99,52.1,Radial Velocity
kepler1265ab,6.49441464,0.0612,581.0,0.71,,Transit
ogle2015blg0966lb,,2.4,2900.0,0.38,0.066,Microlensing
k2148ad,9.7579,0.0774,124.458,0.639,,Transit
2massj15463325,,,11.4,,44.13,Imaging
kepler223b,7.38449,0.073,1960.49,1.12,0.02328,Transit
kepler1982b,3.823159933,0.0511,558.855,1.31,,Transit
kepler728b,5.74347727,,1236.0,0.95,,Transit
kepler1075b,1.52372816,,265.0,0.56,,Transit
kepler1151b,65.6478424,,763.0,0.88,,Transit
kelt15b,3.329441,0.04613,201.0,1.181,0.92,Transit
kepler1990ac,4.068429947,0.0504,392.739,1.08,,Transit
hd219828c,4791.0,5.96,81.1,1.24,15.1,Radial Velocity
kepler1741b,2.757590055,0.0296,270.739,0.591,,Transit
kepler495c,5.896609783,0.0584,658.924,0.94,,Transit
galex07183731b,0.0078,0.000834,85.0,1.27,3.6,Other
hip113103b,7.610303,0.06899,46.258,0.761,0.0186,Transit
kepler1272b,51.1309704,,896.0,1.06,,Transit
wolf1130b,,3150.0,16.7,1.24,50.0,Imaging
hd29985b,20608.1,13.39,31.2707,0.75,5.473,Radial Velocity
pt20132,,,146.0,,8.0,Imaging
kepler1692b,5.95966,0.0646,601.22,1.012,,Transit
kepler827b,51.92927591,,1352.0,0.93,,Transit
hd105779b,2412.0,3.38,55.1,0.89,0.64,Radial Velocity
koi6798b,2.64182865,0.0348,,0.805,,Transit
k2374c,16.43445,0.117,359.439,1.04,0.01797,Transit
kepler81c,12.04,0.089,351.79,0.648,,Transit
lsrj1835,,,,,55.0,Imaging
kepler1869b,8.167360306,0.0791,113.025,1.034,,Transit
wisej15412250,,,5.9,,13.0,Imaging
kepler169d,8.348125,0.075,411.34,0.86,,Transit
2massj04071546,,,36.4421,,67.0,Imaging
kepler102b,5.28696,0.055,108.13,0.81,0.01353,Transit
kepler1454b,47.0319479,,795.0,0.9,,Transit
kepler292c,3.715335,0.045,1087.23,0.88,,Transit
k275b,7.8142,0.081,570.86,1.16,,Transit
hd137496b,1.62116,0.02732,,,0.01271,Transit
kepler1401b,11.20066445,,1242.0,1.07,,Transit
kepler1906b,7.362689972,0.0738,1360.63,1.02,,Transit
kepler1456b,18.1373829,,379.0,0.64,,Transit
nltt35024b,412.73,0.608,25.945,0.113,46.424,Astrometry
psrj09520607b,,,6260.0,,32.0,Other
hd25912c,26308.7,17.848,49.1661,1.08,16.527,Radial Velocity
hip34222b,159.986,0.492,22.85,0.62,0.83,Radial Velocity
wendelstein2b,1.7522239,0.0234,575.0,0.73,0.73,Transit
kepler107b,3.1800218,0.04544,525.5,1.24,0.01104,Transit
usco1556b,,3500.0,141.0,0.33,14.0,Imaging
kepler230c,91.773242,0.38,756.73,,,Transit
wasp41c,421.0,1.07,180.0,0.95,3.18,Radial Velocity
kepler1473b,14.4273551,,625.0,1.09,,Transit
kepler41b,1.8555582,0.03101,1128.11,1.15,0.56,Transit
kappacrbb,1251.0,2.6,31.1,1.51,1.6,Radial Velocity
kepler145b,22.951,,576.15,1.28,0.117,Transit
gj2056b,69.971,0.283,28.443,0.62,0.051,Radial Velocity
kepler1093b,25.0824626,,848.0,1.13,,Transit
kepler1506b,14.0329154,,1318.0,0.95,,Transit
k2310b,13.603,0.098,336.25,0.69,0.02907,Transit
2massj22025605b,12410.0,4.8,69.97,,55.6,Imaging
hd149026b,2.87588874,0.04364,78.9,1.3,0.322,Transit
hatp58b,4.013837,0.04994,519.0,1.031,0.372,Transit
kepler1713b,18.01160049,0.1469,295.293,1.25,,Transit
kepler1186b,16.07677615,,1112.0,0.95,,Transit
kepler122d,21.587475,0.155,1058.58,0.99,,Transit
hatp37b,2.797436,0.0379,411.0,0.929,1.169,Transit
wisej07132917,,,9.1,,26.0,Imaging
dancej161345892442310,,,145.0,,10.0,Imaging
toi544c,50.089,,41.1,0.85,21.5,Radial Velocity
k258b,7.05254,0.0692,182.69,0.89,,Transit
kepler655b,46.4063358,,783.0,1.15,,Transit
kepler1986ab,19.54929924,0.1307,912.085,0.91,,Transit
corot17b,3.768125,0.0461,920.0,1.04,2.43,Transit
hd102272c,520.0,1.57,360.0,1.9,2.6,Radial Velocity
kepler1453b,47.1611696,,1284.0,0.97,,Transit
kepler1278b,3.23941344,,743.0,1.11,,Transit
kepler968d,7.68433346,0.0634,312.0,0.76,,Transit
hr8799c,82145.0,42.9,39.4,1.56,8.3,Imaging
kepler1531b,1.13854338,,670.0,1.16,,Transit
kepler368c,72.379334,0.36,788.3,0.71,,Transit
kepler83ab,9.7704486,0.0714,400.409,0.58,,Transit
59drab,28.44,0.22,27.4468,1.59,25.0,Radial Velocity
ic139645,,,905.0,,50.0,Imaging
kepler1934b,1.419759989,0.0245,428.514,1.059,,Transit
wisej10512138,,,12.5,,30.0,Imaging
kepler142c,4.761702,0.057,557.51,0.99,,Transit
kepler431d,11.922,0.1045,493.44,1.07,,Transit
hd219134e,1842.0,2.56,6.55,0.794,0.223,Radial Velocity
hd82886b,705.0,1.65,125.0,1.06,1.3,Radial Velocity
kepler239c,56.228098,0.268,660.07,0.74,,Transit
kepler80f,0.9867873,0.0175,357.0,0.73,,Transit
hd164922d,12.458,0.12292,22.13,0.874,0.0331,Radial Velocity
kepler944b,43.3167737,,1035.0,0.86,,Transit
kepler296ad,19.850291,0.118,172.3,0.38,,Transit
kepler19b,9.28716,0.085,219.95,0.94,0.02643,Transit
gj229c,523.242,0.896,5.75624,0.544,0.03153,Radial Velocity
kelt9ab,1.4811235,0.03368,204.455,2.52,2.88,Transit
k2301b,5.29711,,451.769,0.63,,Transit
kepler385h,90.0,,1493.94,1.09,,Transit
wisej12171626,,,10.0,,30.0,Imaging
kepler1865b,2.524009943,0.0344,922.255,0.87,,Transit
2massj10074555,,,18.7,,44.44,Imaging
75cetac,2052.0,3.929,81.5,2.49,0.91,Radial Velocity
toi270c,5.66051,0.0472,22.453,0.4,0.0195,Transit
kepler928ab,3.93246069,0.0444,508.809,0.733,,Transit
k272e,24.158868,0.106,66.56,0.27,,Transit
hats40b,3.2642736,0.04997,1431.0,1.56,1.59,Transit
kepler355c,25.762294,0.179,1493.7,1.05,,Transit
toi1739b,8.303342,0.0742,70.98,0.79,0.013,Transit
stkm11526b,,3900.0,57.1964,0.74,60.0,Imaging
kepler347c,27.320871,0.183,1349.45,1.04,,Transit
kepler144c,10.104665,0.094,389.22,1.03,,Transit
kepler1847b,11.12969971,0.0989,1693.86,1.041,,Transit
hatp38b,4.640382,0.0523,249.0,0.886,0.267,Transit
ogle2008blg092lab,,15.0,7000.0,0.71,0.18,Microlensing
tres2ab,2.4706133738,0.03555,220.0,0.98,1.253,Transit
hd181342b,564.1,1.592,110.6,1.69,2.54,Radial Velocity
kepler274c,33.197861,0.204,1385.51,,,Transit
kepler310b,13.930698,0.111,612.87,0.85,,Transit
hd39855ab,3.2498,0.041,23.28,0.87,0.0267,Radial Velocity
kepler757b,1.02267882,,1016.0,1.08,,Transit
2massj04142811,,,131.09,,53.0,Imaging
kepler730b,6.49168281,0.0694,2020.2,1.05,,Transit
k2283b,1.921036,0.0291,408.24,0.89,,Transit
k2402b,17.27474,0.1283,523.055,0.944,0.0245,Transit
k2229d,31.0,0.182,103.8,0.87,0.079,Transit
kepler1891b,4.02229023,0.0473,596.24,0.96,,Transit
hd156279c,4818.3,5.486,36.6,0.93,9.75,Radial Velocity
hd28678b,387.1,1.24,227.0,1.74,1.7,Radial Velocity
k2239b,5.24,0.0441,49.0,0.4,0.0044,Transit
wasp147b,4.60273,0.0549,426.0,1.044,0.275,Transit
soi3b,1.92,,,,,Transit
toi1885b,6.54406,0.0728,560.901,1.2,1.6248,Transit
hip75056ab,47500.0,22.5,125.212,2.15,35.0,Imaging
kepler538ab,81.73778,0.4669,155.956,0.892,0.03335,Transit
ic139650,,,905.0,,60.0,Imaging
toi5232b,4.0966692,0.0559,,,2.34,Transit
toi1811b,3.7130818,0.04393,128.3,0.819,0.974,Transit
kepler1432b,23.9109011,,1552.0,1.09,,Transit
hd45364b,226.93,0.6813,32.6,0.82,0.1872,Radial Velocity
kepler1362b,136.205626,,767.0,0.8,,Transit
kepler122f,56.268,,1058.58,0.99,0.113,Transit Timing Variations
kepler182b,9.825792,0.096,1621.79,1.14,,Transit
hd22946b,4.040295,0.05727,62.87,1.104,0.00821,Transit
kepler480b,4.9195838,,806.0,1.25,,Transit
oglegdecl11388b,3250.0,3.65,1612.38,0.47,12.5,Timing
toi620c,17.72,,33.022,0.577,,Radial Velocity
hd24040c,515.4,1.3,46.51,1.18,0.201,Radial Velocity
hd4917b,400.5,,134.4,1.32,1.615,Radial Velocity
wasp166b,5.44354215,0.0668,113.0,1.19,0.102,Transit
2massj11543400,,,38.3,,6.4,Imaging
kepler272c,6.057342,0.061,912.85,0.79,,Transit
gj1214b,1.580404497,0.01411,13.0,0.15,0.02571,Transit
kepler918b,4.85386933,,1245.0,1.11,,Transit
kmt2021blg1391b,,2.29,5720.0,0.37,0.01432,Microlensing
hd148164b,5062.0,6.15,72.0,1.21,5.16,Radial Velocity
2massj08094434,,,25.0,,13.0,Imaging
kepler1173b,0.7698536,,402.0,0.86,,Transit
kepler905b,5.08274652,,521.0,0.95,,Transit
wasp34b,4.31768509,0.0545,120.0,1.01,0.58,Transit
kepler189b,10.399931,0.088,601.75,0.79,,Transit
hd69830b,8.6682,0.0785,12.6,0.86,0.1427,Radial Velocity
ogle2017blg1049b,,3.92,5670.0,0.55,5.53,Microlensing
kepler1258b,0.98494017,,651.0,0.99,,Transit
kepler224c,5.925003,0.058,799.75,0.74,,Transit
kepler25ab,6.238297,0.06944,244.96,1.19,0.034013,Transit
hd191939e,101.5,0.397,53.608,0.81,0.34,Radial Velocity
swsexb,13357.0,,,,14.0,Timing
ogle2017blg1522l,,,990.0,,46.0,Microlensing
kepler1947b,6.963630199,0.0711,468.771,1.104,,Transit
11umib,516.22,1.54,119.5,1.8,11.0873,Radial Velocity
wasp3ab,1.8468354,0.0313,231.161,1.26,1.81,Transit
kepler997b,2.70730672,,470.0,1.22,,Transit
cwisej15194858b,,,,,60.0,Imaging
k2350c,19.991944,0.1432,489.368,0.98,,Transit
hd114783c,4318.0,,20.4,0.92,0.61,Radial Velocity
k2384e,9.715043,,82.6603,0.33,,Transit
kepler734b,6.10485286,,553.0,0.85,,Transit
k2183c,10.792635,0.0932,329.041,0.95,,Transit
hd10442b,1043.0,2.335,,1.56,2.1,Transit
hd213240ab,951.0,2.03,40.75,1.22,4.5,Radial Velocity
sori71,,,352.0,,19.0,Imaging
k2383b,1.865962,0.0307,203.788,1.061,0.01026,Transit
kepler1633b,186.404271,,811.0,1.2,,Transit
k283c,9.99767,0.07131,125.98,0.48,,Transit
kepler1676b,29.9221,0.1931,,1.07,,Transit
kelt7b,2.734784,0.0446,129.0,1.535,1.24,Transit
bd55362b,265.59,0.78,52.65,,0.72,Radial Velocity
18delab,993.3,2.6,73.1,2.3,10.3,Radial Velocity
2massj22364751b,,230.0,63.0,0.6,12.5,Imaging
kepler234b,2.711506,0.04,1821.01,,,Transit
gwlibb,0.0533,0.002667,100.0,0.84,50.0,Timing
bpscs229630014b,,4200.0,67.1162,0.64,50.0,Imaging
kepler1200b,1.11854972,,579.0,0.74,,Transit
kepler282b,9.220524,0.082,1390.97,1.09,,Transit
hd95089b,507.0,1.51,139.0,1.58,1.2,Radial Velocity
kepler356c,13.121632,0.115,722.14,0.97,,Transit
lspmj20520539b,,790.0,59.4065,0.254,60.0,Imaging
cfhtwiroph98b,8035500.0,200.0,137.0,0.0154,7.8,Imaging
ppl15b,5.825,0.02,142.0,0.07,60.0,Radial Velocity
k2268d,4.528598,,331.46,0.84,,Transit
kepler294c,6.6264,0.071,1411.62,,,Transit
hd184010d,837.7,1.922,61.37,1.35,0.46,Radial Velocity
wasp123ab,2.977641,0.0431,197.996,1.025,0.92,Transit
uscoctio108b,,670.0,145.0,0.057,14.0,Imaging
k28c,5.06416,0.0532,407.93,0.78,,Transit
kepler1153b,1.75583533,,1185.0,0.91,,Transit
kepler724b,3.31494634,,862.0,0.9,,Transit
chaha1,,,194.5,,45.0,Imaging
kepler556b,11.72292176,,729.0,1.0,,Transit
hats66b,3.1414391,0.04714,1542.0,1.406,5.33,Transit
kepler584b,35.1810304,,1445.0,1.17,,Transit
kmt2021blg0240b,,2.6,7000.0,0.47,0.4,Microlensing
hd63433c,20.54383,0.1458,22.42,0.99,0.0482,Transit
kepler269c,8.127899,0.081,2418.83,0.98,,Transit
kepler1685b,20.4905,0.1485,1178.83,1.038,,Transit
kg2001102,,,160.0,,44.0,Imaging
wisej17113500,,,19.0,,33.0,Imaging
hats67b,1.6091788,0.03032,983.0,1.44,1.45,Transit
kepler311b,9.176092,0.087,796.53,1.06,,Transit
kepler545b,13.24934059,,831.0,1.04,,Transit
bd244697b,145.081,0.5,44.7922,0.75,53.0,Radial Velocity
ogle2012blg0950lb,,2.7,3000.0,0.56,0.11,Microlensing
hip71135b,87.19,0.335,32.36,0.66,0.0592,Radial Velocity
hs07056700b,2872.55,3.27,1241.3,,27.0,Other
hd155918ac,17202.2,13.183,27.561,1.03,5.909,Radial Velocity
kepler215d,30.864423,0.185,492.9,0.77,,Transit
hatp60b,4.7947813,0.06277,235.4,1.435,0.574,Transit
psoj229226,,,140.0,,15.7,Imaging
kepler323b,1.678327,0.028,460.8,1.09,,Transit
hd109271ac,30.93,0.196,62.0,1.047,0.076,Radial Velocity
4u154362b,0.0125,0.001187,3300.0,1.4,41.0,Kinematics
kepler1359b,59.4970952,,669.0,0.78,,Transit
kepler1042b,10.13202575,,659.0,0.75,,Transit
kepler1659c,20.4415,0.14728,1168.99,1.02,0.01447,Transit
kepler780b,0.67737516,,520.0,1.01,,Transit
kepler416b,6.319,,704.76,1.0,0.183,Transit Timing Variations
kmt2021blg1372b,,2.37,5970.0,0.42,0.19278,Microlensing
hats28b,3.1810781,0.04131,521.0,0.929,0.672,Transit
kepler94b,2.50806,,192.97,0.81,0.034,Transit
hd210702ab,354.1,1.148,56.0,1.61,1.808,Radial Velocity
k272c,15.189034,0.078,66.56,0.27,,Transit
kepler105c,7.1262,0.072,465.33,0.96,0.01447,Transit
k2363b,0.728113,0.0118,150.124,0.418,,Transit
bd601417b,,1662.0,44.957,1.0,15.0,Imaging
ic139635,,,905.0,,60.0,Imaging
toi1775b,10.2405549,0.082,149.23,0.9,0.302,Transit
hd31221b,4.66632,0.0618,124.0,1.447,12.0,Transit
usco16102239,,,128.5,,24.0,Imaging
hd360b,273.1,0.98,111.542,1.69,0.75,Radial Velocity
k2172c,29.62682,,251.51,0.93,,Transit
k2348c,12.550171,0.09937,201.856,0.83,,Transit
kepler436c,16.79713874,,618.0,0.73,,Transit
toi1227b,27.36397,0.0886,100.96,0.17,,Radial Velocity
2massj04412301ab,,33.0,145.0,0.2,35.0,Imaging
hats48ab,3.1316666,0.03769,265.4,0.7279,0.243,Transit
lp466214b,,10000.0,64.0719,0.1622,60.0,Imaging
kepler817b,3.99010623,,1401.0,1.03,,Transit
kepler461b,8.31378306,,468.0,0.98,,Transit
hip63242b,124.6,0.565,135.0,1.54,9.18,Radial Velocity
kepler1758b,9.977210045,0.0919,1588.41,1.1,,Transit
nscj02004707b,,1691.254,75.571,0.44,55.0,Imaging
hip5158c,9018.0,7.7,45.0,0.78,15.04,Radial Velocity
sdssj080531481233a,,,21.3756,,60.0,Astrometry
kepler1282b,2.13194651,,1126.0,0.92,,Transit
wasp71ab,2.9036747,0.04631,200.0,1.572,2.258,Transit
kepler630b,161.4743937,,657.0,1.02,,Transit
k259c,11.2954,0.0905,314.09,0.77,,Transit
kepler1811b,76.42230225,0.3462,1390.56,1.02,,Transit
kepler5b,3.5484657,0.0538,923.41,1.37,2.111,Transit
hatp44bc,219.9,0.699,374.0,0.939,1.6,Transit
2massj053738502428517,,,,,25.0,Radial Velocity
kepler100b,6.88705,,307.34,1.08,0.023,Transit
kepler228c,4.134444,0.052,1724.6,,,Transit
kepler529c,12.8345022,,787.0,1.07,,Transit
iotcapc,2481.1,5.067,61.7477,2.89,7.485,Radial Velocity
kepler1813ab,2.818160057,0.0364,809.32,0.812,,Transit
corot4b,9.20166201,0.09,,1.1,0.72,Transit
pi1cncd,58400.0,10.9,20.5,,55.0,Imaging
kepler1108b,4.51005748,,764.0,0.88,,Transit
toi1266c,18.801611,0.1047,36.05,0.45,0.00906,Transit
